feature,importance
std_sentence_len_words,0.0817433964576397
avg_sentence_len_words,0.06851689841901656
avg_word_len,0.05167319524469069
punct_41_per100w,0.04886907063847836
punct_40_per100w,0.04483014305122551
fw_of_per100w,0.04062969784759637
fw_the_per100w,0.03918725561340033
fw_this_per100w,0.034592771358618504
type_token_ratio,0.03366417973125452
fw_to_per100w,0.032745239193514984
word_count,0.03093815593300871
sentence_count,0.028782819179865988
type_count,0.026112698982179522
fw_that_per100w,0.02218795652824895
fw_in_per100w,0.021496024060271512
hapax_ratio,0.020936525308250825
fw_and_per100w,0.02023852871047286
fw_a_per100w,0.018904703532857278
fw_are_per100w,0.01857257286335734
punct_45_per100w,0.01854418351327064
punct_58_per100w,0.018250927662040117
punct_44_per100w,0.017300542804533196
fw_for_per100w,0.01715278373282581
fw_with_per100w,0.015099462391212728
fw_by_per100w,0.014505534728484636
fw_from_per100w,0.013588740028387256
fw_an_per100w,0.013121888354936984
fw_as_per100w,0.012882697447971995
fw_on_per100w,0.01287286810367559
fw_through_per100w,0.011817463628107353
fw_is_per100w,0.011306210796505975
fw_these_per100w,0.011163518281101318
fw_into_per100w,0.009853277234728721
fw_its_per100w,0.00906708078485327
fw_was_per100w,0.008985689407549388
fw_were_per100w,0.007472430449064893
fw_between_per100w,0.007323241042010206
fw_while_per100w,0.007313756298406111
fw_can_per100w,0.007171433969223501
fw_it_per100w,0.006905312590607906
fw_their_per100w,0.006815934490668091
fw_which_per100w,0.006332875876086473
fw_at_per100w,0.005490308727287142
fw_or_per100w,0.004925936245605783
fw_not_per100w,0.004709920168976339
fw_be_per100w,0.00437780932919257
fw_being_per100w,0.003321905300165319
punct_59_per100w,0.003245712318035037
hedge_per100w,0.0031727357106856105
fw_been_per100w,0.0031316238428460525
fw_but_per100w,0.002402763820967718
fw_among_per100w,0.0019107683735915526
fw_without_per100w,0.001842474097733691
fw_may_per100w,0.0016763561005690257
fw_must_per100w,0.0013443043396403527
fw_should_per100w,0.0012779049628565617
fw_there_per100w,0.0011473137841182118
fw_about_per100w,0.001073302454680833
fw_those_per100w,0.0010697058959549689
fw_who_per100w,0.0010312592404563988
fw_if_per100w,0.0008941755048528648
fw_because_per100w,0.0006321758655075808
fw_no_per100w,0.0005607370619559115
punct_34_per100w,0.0005445691838867441
fw_would_per100w,0.0003938231519727216
fw_could_per100w,0.00035272824826017437
punct_63_per100w,0.0
punct_33_per100w,0.0
fw_whose_per100w,0.0
fw_whom_per100w,0.0
fw_might_per100w,0.0
citation_year_per100w,0.0
et_al_per100w,0.0
